tax_year_start,Tax_Year_Ending,Number_of_individuals,tax_lib
2007?07-01,2008?01-01,137000,8.778
2008?07-01,2009?01-01,123100,7.403
2009?07-01,2010?01-01,120300,8.262
2010?07-01,2011?01-01,115200,8.323
2011?07-01,2012?01-01,113300,8.629
2012?07-01,2013?01-01,117000,8.766
2013?07-01,2014?01-01,120400,9.352
2014?07-01,2015?01-01,123000,9.343
2015?07-01,2016?01-01,119400,9.329
2016?07-01,2017?01-01,91600,9.654
2017?07-01,2018?01-01,79900,7.654
2018?07-01,2019?01-01,79800,7.978
2019?07-01,2020?01-01,77600,7.934
2020?07-01,2021?01-01,69000,7.903
2021?07-01,2022?01-01,69700,8.506
2022?07-01,2023?01-01,74100,8.889
2023?07-01,2024?01-01,73700,8.996
