Location,value
World,8119000000
China,1409670000
India,1404910000
United States,335893238
Indonesia,282477584
Pakistan,241499431
Nigeria,223800000
Brazil,203080756
Bangladesh,169828911
Russia,146150789
Mexico,129940228
Japan,123790000
Philippines,114163719
Ethiopia,109499000
Egypt,105914499
Democratic Republic of the Congo,105247000
Vietnam,100300000
Turkey,85372377
Iran,85000000
Germany,84708010
France,68513000
United Kingdom,68265209
Thailand,65969270
South Africa,63015904
Tanzania,61741120
Italy,58974433
Myanmar,56712559
Colombia,52695952
Kenya,52428290
South Korea,51248233
Sudan,50448963
Spain,48797875
Argentina,47067441
Algeria,46700000
Uganda,45935046
Iraq,44414800
Canada,41288599
Poland,37552000
Morocco,37369652
Uzbekistan,36963262
Ukraine,36700000
Angola,35121734
Afghanistan,34262840
Peru,34038457
Malaysia,33980600
Ghana,33007618
Mozambique,32419747
Yemen,32305264
Saudi Arabia,32175224
Madagascar,30811969
Ivory Coast,29389150
Nepal,29164578
Cameroon,28758503
Venezuela,28405543
Australia,27122411
Niger,26312034
North Korea,25950000
Syria,24672760
Burkina Faso,23409015
Taiwan,23406608
Mali,22395489
Sri Lanka,21916000
Malawi,20270568
Kazakhstan,20201849
Chile,20086377
Zambia,19610769
Romania,19064409
Chad,18675547
Somalia,18143379
Senegal,18126390
Netherlands,18005142
Guatemala,17843132
Cambodia,17336307
Ecuador,16938986
Zimbabwe,15178979
South Sudan,14746494
Rwanda,13798561
Guinea,13261638
Benin,12910087
Burundi,12837740
Bolivia,12006031
Tunisia,11850232
Belgium,11839987
Papua New Guinea,11781559
Haiti,11743017
Jordan,11516000
Cuba,11089511
Czech Republic,10879069
Dominican Republic,10760028
Portugal,10639726
Sweden,10576145
Greece,10413982
United Arab Emirates,10288946
Tajikistan,10277100
Azerbaijan,10200013
Israel,9990300
Honduras,9892632
Hungary,9584627
Austria,9179693
Belarus,9155978
Switzerland,9002763
Sierra Leone,8494260
Togo,8095498
Hong Kong (China),7531800
Laos,7443000
Libya,7381023
Kyrgyzstan,7100000
Turkmenistan,7057841
El Salvador,6351000
Nicaragua,6803886
Serbia,6605168
Central African Republic,6470307
Bulgaria,6445481
Republic of the Congo,6142180
Paraguay,6109644
Singapore,6036900
Denmark,5982117
Finland,5628931
Norway,5571634
Lebanon,5490000
Palestine,5483450
Slovakia,5422194
Ireland,5380300
New Zealand,5338500
Costa Rica,5309625
Liberia,5248621
Oman,5219940
Mauritania,4927532
Kuwait,4913271
Panama,4064780
Croatia,3859686
Eritrea,3748902
Georgia,3694600
Mongolia,3504741
Uruguay,3444263
Bosnia and Herzegovina,3264873
Puerto Rico (US),3205691
Armenia,3039700
Namibia,3022401
Lithuania,2893887
Qatar,2857822
Jamaica,2825544
Moldova,2423300
Gambia,2417471
Botswana,2410338
Gabon,2408586
Albania,2402113
Lesotho,2306000
Slovenia,2124709
Latvia,1859800
North Macedonia,1826247
Guinea-Bissau,1781308
Kosovo,1762220
Bahrain,1588670
Equatorial Guinea,1558160
Estonia,1374687
East Timor,1373024
Trinidad and Tobago,1367510
Mauritius,1259509
Eswatini,1235549
Djibouti,1001454
Cyprus,918100
Comoros,900141
Fiji,893468
Bhutan,777224
Guyana,772975
Solomon Islands,750325
Macau (China),687000
Luxembourg,672020
Montenegro,616695
Suriname,616500
Western Sahara,587259
Malta,542051
Maldives,515132
Cape Verde,491233
Brunei,445400
Belize,410919
Bahamas,397360
Iceland,386970
Northern Cyprus,382836
Transnistria,360938
Vanuatu,321409
French Polynesia (France),279890
New Caledonia (France),268510
Barbados,267800
Abkhazia,244236
São Tomé and Príncipe,228319
Samoa,205557
Saint Lucia,184100
Guam (US),153836
Curaçao (Netherlands),155826
Seychelles,121355
Kiribati,120740
Grenada,112579
Saint Vincent and the Grenadines,110872
Aruba (Netherlands),107151
Micronesia,105754
Antigua and Barbuda,103603
Jersey (UK),103267
Tonga,100179
U.S. Virgin Islands (US),87146
Andorra,86398
Isle of Man (UK),84530
Cayman Islands (UK),71105
Dominica,67408
Guernsey (UK),64769
Bermuda (UK),64055
Greenland (Denmark),56865
South Ossetia,56520
Faroe Islands (Denmark),54908
Saint Kitts and Nevis,51320
American Samoa (US),49710
Turks and Caicos Islands (UK),49309
Northern Mariana Islands (US),47329
Marshall Islands,42418
Sint Maarten (Netherlands),41349
Liechtenstein,40023
Monaco,38367
Gibraltar (UK),34003
San Marino,33984
Saint Martin (France),32358
British Virgin Islands (UK),31538
Palau,16733
Anguilla (UK),15780
Cook Islands,15040
Nauru,11680
Wallis and Futuna (France),11620
Tuvalu,10679
Saint Barthélemy (France),10585
Saint Pierre and Miquelon (France),6092
"Saint Helena, Ascension and Tristan da Cunha (UK)",5651
Montserrat (UK),4386
Falkland Islands (UK),3662
Norfolk Island (Australia),2188
Christmas Island (Australia),1692
Niue (New Zealand),1681
Tokelau (New Zealand),1647
Vatican City,764
Cocos (Keeling) Islands (Australia),593
Pitcairn Islands (UK),35
