region ,date,value
East,01/01/2004,14026
East,01/01/2005,14532
East,01/01/2006,14977
East,01/01/2007,15609
East,01/01/2008,16119
East,01/01/2009,16536
East,01/01/2010,16657
East,01/01/2011,16778
East,01/01/2012,17370
East,01/01/2013,17984
East,01/01/2014,18537
East,01/01/2015,19582
East,01/01/2016,19882
East,01/01/2017,20439
East,01/01/2018,21185
East,01/01/2019,21787
East,01/01/2020,21613
East,01/01/2021,22377
East,01/01/2022,23661
East Midlands,01/01/2004,12309
East Midlands,01/01/2005,12643
East Midlands,01/01/2006,13052
East Midlands,01/01/2007,13803
East Midlands,01/01/2008,13968
East Midlands,01/01/2009,14199
East Midlands,01/01/2010,14221
East Midlands,01/01/2011,14499
East Midlands,01/01/2012,14981
East Midlands,01/01/2013,15434
East Midlands,01/01/2014,15913
East Midlands,01/01/2015,16680
East Midlands,01/01/2016,16703
East Midlands,01/01/2017,17153
East Midlands,01/01/2018,17635
East Midlands,01/01/2019,18208
East Midlands,01/01/2020,18444
East Midlands,01/01/2021,18942
East Midlands,01/01/2022,19879
London,01/01/2004,17569
London,01/01/2005,18587
London,01/01/2006,19521
London,01/01/2007,20924
London,01/01/2008,21540
London,01/01/2009,21431
London,01/01/2010,21575
London,01/01/2011,21391
London,01/01/2012,22698
London,01/01/2013,23906
London,01/01/2014,24890
London,01/01/2015,26652
London,01/01/2016,27099
London,01/01/2017,27599
London,01/01/2018,29104
London,01/01/2019,29719
London,01/01/2020,29245
London,01/01/2021,30662
London,01/01/2022,32330
North East,01/01/2004,11470
North East,01/01/2005,11697
North East,01/01/2006,12121
North East,01/01/2007,12434
North East,01/01/2008,12721
North East,01/01/2009,13291
North East,01/01/2010,13509
North East,01/01/2011,13654
North East,01/01/2012,14227
North East,01/01/2013,14564
North East,01/01/2014,14959
North East,01/01/2015,15516
North East,01/01/2016,15718
North East,01/01/2017,16038
North East,01/01/2018,16474
North East,01/01/2019,16991
North East,01/01/2020,17239
North East,01/01/2021,17592
North East,01/01/2022,18388
North West,01/01/2004,12215
North West,01/01/2005,12598
North West,01/01/2006,13014
North West,01/01/2007,13531
North West,01/01/2008,13756
North West,01/01/2009,14260
North West,01/01/2010,14378
North West,01/01/2011,14506
North West,01/01/2012,14972
North West,01/01/2013,15427
North West,01/01/2014,15828
North West,01/01/2015,16551
North West,01/01/2016,16664
North West,01/01/2017,17108
North West,01/01/2018,17629
North West,01/01/2019,18229
North West,01/01/2020,18372
North West,01/01/2021,18805
North West,01/01/2022,19752
South East,01/01/2004,15627
South East,01/01/2005,16185
South East,01/01/2006,16918
South East,01/01/2007,17730
South East,01/01/2008,18086
South East,01/01/2009,18443
South East,01/01/2010,18484
South East,01/01/2011,18661
South East,01/01/2012,19310
South East,01/01/2013,20083
South East,01/01/2014,20575
South East,01/01/2015,21790
South East,01/01/2016,22082
South East,01/01/2017,22624
South East,01/01/2018,23405
South East,01/01/2019,24148
South East,01/01/2020,23816
South East,01/01/2021,24606
South East,01/01/2022,26058
South West,01/01/2004,13396
South West,01/01/2005,13901
South West,01/01/2006,14614
South West,01/01/2007,15134
South West,01/01/2008,15612
South West,01/01/2009,15699
South West,01/01/2010,16065
South West,01/01/2011,16312
South West,01/01/2012,16685
South West,01/01/2013,17306
South West,01/01/2014,17888
South West,01/01/2015,18686
South West,01/01/2016,18841
South West,01/01/2017,19265
South West,01/01/2018,19996
South West,01/01/2019,20725
South West,01/01/2020,20627
South West,01/01/2021,21304
South West,01/01/2022,22612
West Midlands,01/01/2004,12190
West Midlands,01/01/2005,12391
West Midlands,01/01/2006,12852
West Midlands,01/01/2007,13201
West Midlands,01/01/2008,13548
West Midlands,01/01/2009,13873
West Midlands,01/01/2010,14012
West Midlands,01/01/2011,14188
West Midlands,01/01/2012,14568
West Midlands,01/01/2013,15057
West Midlands,01/01/2014,15606
West Midlands,01/01/2015,16391
West Midlands,01/01/2016,16671
West Midlands,01/01/2017,16915
West Midlands,01/01/2018,17439
West Midlands,01/01/2019,17910
West Midlands,01/01/2020,18027
West Midlands,01/01/2021,18507
West Midlands,01/01/2022,19480
Yorkshire and The Humber,01/01/2004,12004
Yorkshire and The Humber,01/01/2005,12302
Yorkshire and The Humber,01/01/2006,12729
Yorkshire and The Humber,01/01/2007,13247
Yorkshire and The Humber,01/01/2008,13417
Yorkshire and The Humber,01/01/2009,13784
Yorkshire and The Humber,01/01/2010,13841
Yorkshire and The Humber,01/01/2011,14067
Yorkshire and The Humber,01/01/2012,14477
Yorkshire and The Humber,01/01/2013,14883
Yorkshire and The Humber,01/01/2014,15300
Yorkshire and The Humber,01/01/2015,16021
Yorkshire and The Humber,01/01/2016,16106
Yorkshire and The Humber,01/01/2017,16582
Yorkshire and The Humber,01/01/2018,17189
Yorkshire and The Humber,01/01/2019,17693
Yorkshire and The Humber,01/01/2020,17876
Yorkshire and The Humber,01/01/2021,18347
Yorkshire and The Humber,01/01/2022,19249
