USD/Gold per ounce,price,,,
22/03/1968,40.00,,,
25/03/1968,40.25,,,
26/03/1968,41.10,,,
27/03/1968,40.35,,,
28/03/1968,39.60,,,
29/03/1968,39.45,,,
01/04/1968,38.60,,,
03/04/1968,38.45,,,
04/04/1968,38.05,,,
05/04/1968,38.65,,,
08/04/1968,38.15,,,
09/04/1968,38.60,,,
10/04/1968,38.65,,,
11/04/1968,39.10,,,
18/04/1968,38.55,,,
19/04/1968,38.60,,,
22/04/1968,38.95,,,
23/04/1968,39.40,,,
24/04/1968,39.30,,,
25/04/1968,39.35,,,
26/04/1968,39.50,,,
29/04/1968,39.65,,,
30/04/1968,40.05,,,
01/05/1968,40.15,,,
02/05/1968,40.40,,,
03/05/1968,39.90,,,
06/05/1968,40.60,,,
07/05/1968,40.25,,,
08/05/1968,40.45,,,
09/05/1968,40.55,,,
10/05/1968,40.45,,,
14/05/1968,40.75,,,
15/05/1968,41.30,,,
16/05/1968,42.20,,,
17/05/1968,42.45,,,
20/05/1968,43.25,,,
22/05/1968,42.50,,,
23/05/1968,42.35,,,
24/05/1968,42.70,,,
27/05/1968,42.35,,,
29/05/1968,42.40,,,
31/05/1968,42.80,,,
04/06/1968,42.00,,,
05/06/1968,42.05,,,
06/06/1968,41.35,,,
10/06/1968,41.40,,,
11/06/1968,42.50,,,
12/06/1968,42.25,,,
13/06/1968,41.65,,,
14/06/1968,41.25,,,
17/06/1968,41.05,,,
18/06/1968,41.30,,,
19/06/1968,41.65,,,
20/06/1968,41.30,,,
21/06/1968,41.20,,,
24/06/1968,41.05,,,
25/06/1968,41.00,,,
27/06/1968,41.05,,,
01/07/1968,40.95,,,
02/07/1968,41.05,,,
03/07/1968,41.15,,,
08/07/1968,41.00,,,
09/07/1968,40.00,,,
10/07/1968,40.20,,,
11/07/1968,39.25,,,
12/07/1968,39.35,,,
15/07/1968,39.25,,,
16/07/1968,38.65,,,
17/07/1968,37.90,,,
18/07/1968,38.40,,,
19/07/1968,38.00,,,
22/07/1968,38.70,,,
23/07/1968,39.05,,,
24/07/1968,39.25,,,
25/07/1968,39.05,,,
29/07/1968,39.15,,,
30/07/1968,39.10,,,
31/07/1968,38.90,,,
05/08/1968,39.00,,,
06/08/1968,38.80,,,
07/08/1968,38.75,,,
08/08/1968,38.55,,,
09/08/1968,38.65,,,
13/08/1968,38.90,,,
14/08/1968,39.05,,,
15/08/1968,39.25,,,
19/08/1968,39.30,,,
20/08/1968,39.65,,,
21/08/1968,40.05,,,
22/08/1968,39.90,,,
23/08/1968,39.60,,,
27/08/1968,39.75,,,
28/08/1968,39.70,,,
29/08/1968,39.95,,,
30/08/1968,39.90,,,
03/09/1968,40.00,,,
04/09/1968,39.85,,,
05/09/1968,40.15,,,
06/09/1968,40.00,,,
09/09/1968,40.25,,,
10/09/1968,40.15,,,
11/09/1968,40.20,,,
13/09/1968,40.25,,,
16/09/1968,40.35,,,
18/09/1968,40.55,,,
19/09/1968,40.50,,,
27/09/1968,40.20,,,
30/09/1968,39.60,,,
01/10/1968,39.55,,,
02/10/1968,39.00,,,
03/10/1968,39.25,,,
04/10/1968,39.15,,,
07/10/1968,39.85,,,
08/10/1968,39.65,,,
09/10/1968,39.00,,,
10/10/1968,39.05,,,
11/10/1968,39.30,,,
14/10/1968,39.35,,,
15/10/1968,39.15,,,
16/10/1968,39.00,,,
17/10/1968,39.25,,,
21/10/1968,39.15,,,
22/10/1968,39.20,,,
24/10/1968,39.30,,,
25/10/1968,39.35,,,
