Region name,1997,2022
United Kingdom," 10,596 "," 22,789 "
England," 10,850 "," 23,338 "
North East," 9,107 "," 18,388 "
Tees Valley and Durham," 9,052 "," 17,955 "
Hartlepool and Stockton-on-Tees," 9,117 "," 18,411 "
South Teesside," 8,813 "," 17,158 "
Darlington," 9,453 "," 19,056 "
Durham CC," 9,074 "," 17,904 "
"Northumberland, and Tyne and Wear"," 9,151 "," 18,749 "
Northumberland," 10,081 "," 21,359 "
Tyneside," 9,073 "," 18,183 "
Sunderland," 8,388 "," 17,458 "
North West," 9,608 "," 19,752 "
Cumbria," 9,767 "," 21,039 "
West Cumbria," 8,814 "," 19,815 "
East Cumbria," 10,669 "," 22,082 "
Greater Manchester," 9,460 "," 19,094 "
Manchester," 7,183 "," 17,615 "
Greater Manchester South West," 11,762 "," 22,336 "
Greater Manchester South East," 9,661 "," 20,679 "
Greater Manchester North West," 9,771 "," 17,883 "
Greater Manchester North East," 8,912 "," 17,731 "
Lancashire," 9,357 "," 19,038 "
Blackburn with Darwen," 8,314 "," 15,884 "
Blackpool," 9,469 "," 17,413 "
Lancaster and Wyre," 9,011 "," 19,488 "
Mid Lancashire," 10,568 "," 21,035 "
East Lancashire," 8,161 "," 16,820 "
Chorley and West Lancashire," 10,150 "," 21,365 "
Cheshire," 11,117 "," 23,823 "
Warrington," 10,173 "," 22,152 "
Cheshire East," 11,854 "," 25,982 "
Cheshire West and Chester," 10,864 "," 22,376 "
Merseyside," 9,179 "," 18,722 "
East Merseyside," 8,099 "," 18,314 "
Liverpool," 8,364 "," 17,408 "
Sefton," 11,192 "," 20,208 "
Wirral," 10,061 "," 20,043 "
Yorkshire and The Humber," 9,482 "," 19,249 "
East Yorkshire and Northern Lincolnshire," 9,042 "," 18,740 "
"Kingston upon Hull, City of"," 7,316 "," 15,818 "
East Riding of Yorkshire," 10,479 "," 21,547 "
North and North East Lincolnshire," 9,083 "," 18,168 "
North Yorkshire," 11,150 "," 23,711 "
York," 10,322 "," 21,981 "
North Yorkshire CC," 11,411 "," 24,277 "
South Yorkshire," 8,820 "," 18,070 "
"Barnsley, Doncaster and Rotherham"," 8,582 "," 18,148 "
Sheffield," 9,170 "," 17,955 "
West Yorkshire," 9,487 "," 18,587 "
Bradford," 9,144 "," 16,274 "
Leeds," 10,003 "," 19,965 "
Calderdale and Kirklees," 9,319 "," 18,664 "
Wakefield," 9,128 "," 18,860 "
East Midlands," 9,672 "," 19,879 "
Derbyshire and Nottinghamshire," 9,194 "," 19,379 "
Derby," 9,121 "," 17,294 "
East Derbyshire," 8,422 "," 18,950 "
South and West Derbyshire," 9,449 "," 21,547 "
Nottingham," 8,225 "," 15,434 "
North Nottinghamshire," 8,865 "," 19,191 "
South Nottinghamshire," 10,784 "," 22,059 "
